case_id,trajectory,omega_rad_s,delay_s,mean_packet_age_s,performance_ratio,improvement_percent,omega_time_constant,omega_sample_period,classification,q_delay,q_age,q1_age,q2_age,theoretical_q_candidate,q_delay_minus_candidate,q_age_minus_candidate
case__trajectory-circle__A-1__w-0p5__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,circle,0.5,0,0.00750000000076616,0.00329601372828172,99.6703986271718,0.05,0.01,improvement,0,0.00375000000038308,0.00375000000038308,0.00750000000076616,1.89549426703398,-1.89549426703398,-1.8917442670336
case__trajectory-circle__A-1__w-1__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,circle,1,0,0.00750024868130762,0.00659203550254175,99.3407964497458,0.1,0.02,improvement,0,0.00750024868130762,0.00750024868130762,0.0150004973626152,1.89549426703398,-1.89549426703398,-1.88799401835267
case__trajectory-circle__A-1__w-2__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,circle,2,0,0.00750149194381836,0.0131841716257192,98.6815828374281,0.2,0.04,improvement,0,0.0150029838876367,0.0150029838876367,0.0300059677752734,1.89549426703398,-1.89549426703398,-1.88049128314634
case__trajectory-circle__A-1__w-4__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,circle,4,0,0.00749900517321303,0.0263694853418459,97.3630514658154,0.4,0.08,improvement,0,0.0299960206928521,0.0299960206928521,0.0599920413857042,1.89549426703398,-1.89549426703398,-1.86549824634113
case__trajectory-circle__A-1__w-0p5__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,circle,0.5,0.1,0.107500000000483,0.0273771077896155,97.2622892210385,0.05,0.01,improvement,0.05,0.0537500000002414,0.0537500000002414,0.107500000000483,1.89549426703398,-1.84549426703398,-1.84174426703374
case__trajectory-circle__A-1__w-1__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,circle,1,0.1,0.107500248681033,0.0547608655617406,94.5239134438259,0.1,0.02,improvement,0.1,0.107500248681033,0.107500248681033,0.215000497362067,1.89549426703398,-1.79549426703398,-1.78799401835295
case__trajectory-circle__A-1__w-2__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,circle,2,0.1,0.107501491943816,0.109575075615887,89.0424924384113,0.2,0.04,improvement,0.2,0.215002983887632,0.215002983887632,0.430005967775265,1.89549426703398,-1.69549426703398,-1.68049128314635
case__trajectory-circle__A-1__w-4__d-0p10000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,circle,4,0.1,0.107499005173211,0.219579231388537,78.0420768611463,0.4,0.08,improvement,0.4,0.429996020692844,0.429996020692844,0.859992041385688,1.89549426703398,-1.49549426703398,-1.46549824634114
case__trajectory-circle__A-1__w-0p5__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,circle,0.5,0.2,0.207500000000475,0.0523435698491245,94.7656430150875,0.05,0.01,improvement,0.1,0.103750000000237,0.103750000000237,0.207500000000475,1.89549426703398,-1.79549426703398,-1.79174426703374
case__trajectory-circle__A-1__w-1__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,circle,1,0.2,0.207500248681042,0.104734632026213,89.5265367973787,0.1,0.02,improvement,0.2,0.207500248681042,0.207500248681042,0.415000497362083,1.89549426703398,-1.69549426703398,-1.68799401835294
