trajectory,figure_id,role,case_id,selection_metric,selected_value,selection_reason,fallback_used
circle,figure_02_representative_circle,best_improvement,case__trajectory-circle__A-1__w-0p5__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,improvement_percent,99.6703986271718,Maximum improvement_percent; ties use minimum G then case_id.,0
circle,figure_02_representative_circle,worst_degradation,case__trajectory-circle__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,performance_ratio,1.08431084843105,Maximum degradation G; ties use case_id.,0
circle,figure_02_representative_circle,nearest_boundary,case__trajectory-circle__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,abs(G-1),0.0843108484310455,Minimum absolute distance from G=1; ties use case_id.,0
circle,,maximum_instantaneous_error_zoh,case__trajectory-circle__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,max_error_zoh_m,1.58125899383904,Maximum saved ZOH instantaneous error metric; ties use case_id.,0
circle,,maximum_instantaneous_error_cv,case__trajectory-circle__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,max_error_cv_m,1.71565016766594,Maximum saved CV instantaneous error metric; ties use case_id.,0
lissajous_1_2,figure_03_representative_lissajous,best_improvement,case__trajectory-lissajous_1_2__A-1__w-0p5__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,improvement_percent,99.3925610259198,Maximum improvement_percent; ties use minimum G then case_id.,0
lissajous_1_2,figure_03_representative_lissajous,worst_degradation,case__trajectory-lissajous_1_2__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,performance_ratio,2.06613310558969,Maximum degradation G; ties use case_id.,0
lissajous_1_2,figure_03_representative_lissajous,nearest_boundary,case__trajectory-lissajous_1_2__A-1__w-2__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,abs(G-1),0.0343539011909522,Minimum absolute distance from G=1; ties use case_id.,0
lissajous_1_2,,maximum_instantaneous_error_zoh,case__trajectory-lissajous_1_2__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,max_error_zoh_m,2.10771664572196,Maximum saved ZOH instantaneous error metric; ties use case_id.,0
lissajous_1_2,,maximum_instantaneous_error_cv,case__trajectory-lissajous_1_2__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,max_error_cv_m,4.19434480483204,Maximum saved CV instantaneous error metric; ties use case_id.,0
lissajous_1_2,figure_04_lissajous_error_timeseries,lissajous_direction_change,case__trajectory-lissajous_1_2__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,performance_ratio,2.06613310558969,direction-change/high-acceleration diagnostic; events use 75th percentile threshold=60.1992257 m/s^2; peak acceleration=64.9999897 m/s^2 at t=13.55 s; association is observational.,0
